date,harrypotterwiki
2016-06-17,44
2016-06-18,0
2016-06-19,0
2016-06-20,24
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,87
2016-06-25,25
2016-06-26,0
2016-06-27,0
2016-06-28,21
2016-06-29,0
2016-06-30,0
2016-07-01,0
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,32
2016-07-11,0
2016-07-12,23
2016-07-13,51
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,0
2016-07-19,0
2016-07-20,0
2016-07-21,0
2016-07-22,0
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,34
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-13,0
2016-08-14,0
2016-08-15,0
2016-08-16,0
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,35
2016-08-21,0
2016-08-22,0
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,22
2016-08-27,0
2016-08-28,0
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,31
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,33
2016-09-06,0
2016-09-07,0
2016-09-08,0
2016-09-09,0
2016-09-10,0
2016-09-11,74
2016-09-12,0
2016-09-13,29
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,33
2016-09-20,0
2016-09-21,0
2016-09-22,0
2016-09-23,0
2016-09-24,0
2016-09-25,0
2016-09-26,24
2016-09-27,0
2016-09-28,0
2016-09-29,0
2016-09-30,0
2016-10-01,0
2016-10-02,46
2016-10-03,0
2016-10-04,0
2016-10-05,0
2016-10-06,0
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,33
2016-10-11,0
2016-10-12,0
2016-10-13,0
2016-10-14,0
2016-10-15,0
2016-10-16,0
2016-10-17,32
2016-10-18,0
2016-10-19,0
2016-10-20,0
2016-10-21,28
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,100
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,0
2016-11-03,0
2016-11-04,33
2016-11-05,0
2016-11-06,0
2016-11-07,55
2016-11-08,24
2016-11-09,0
2016-11-10,25
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-19,0
2016-11-20,30
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,36
2016-11-26,60
2016-11-27,0
2016-11-28,30
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,24
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,33
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-17,0
2016-12-18,0
2016-12-19,61
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,19
2016-12-28,0
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,52
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,44
2017-01-07,0
2017-01-08,0
2017-01-09,42
2017-01-10,0
2017-01-11,38
2017-01-12,34
2017-01-13,0
2017-01-14,0
2017-01-15,50
2017-01-16,0
2017-01-17,31
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,54
2017-01-25,47
2017-01-26,0
2017-01-27,81
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,46
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,100
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,44
2017-02-19,45
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,0
2017-03-08,88
2017-03-09,0
2017-03-10,33
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,67
2017-03-15,0
2017-03-16,0
2017-03-17,45
2017-03-18,0
2017-03-19,39
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,38
2017-03-26,0
2017-03-27,0
2017-03-28,0
2017-03-29,32
2017-03-30,0
2017-03-31,0
2017-04-01,35
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,0
2017-04-06,0
2017-04-07,43
2017-04-08,90
2017-04-09,69
2017-04-10,0
2017-04-11,54
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,43
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,38
2017-04-20,0
2017-04-21,0
2017-04-22,71
2017-04-23,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,35
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,43
2017-05-06,47
2017-05-07,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-13,42
2017-05-14,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-20,45
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,59
2017-05-26,0
2017-05-27,0
2017-05-28,64
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,69
2017-06-02,0
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,24
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-10,31
2017-06-11,34
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,35
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,62
2017-06-22,0
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-01,60
2017-07-02,100
2017-07-03,22
2017-07-04,0
2017-07-05,23
2017-07-06,0
2017-07-07,25
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-15,24
2017-07-16,0
2017-07-17,0
2017-07-18,0
2017-07-19,33
2017-07-20,0
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-29,0
2017-07-30,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-12,0
2017-08-13,25
2017-08-14,23
2017-08-15,0
2017-08-16,0
2017-08-17,22
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,56
2017-08-22,0
2017-08-23,30
2017-08-24,79
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,40
2017-08-30,37
2017-08-31,0
2017-09-01,38
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,38
2017-09-12,77
2017-09-13,19
2017-09-14,0
2017-09-15,0
2017-09-16,42
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,21
2017-09-22,0
2017-09-23,61
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,47
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,40
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,19
2017-10-24,40
2017-10-25,0
2017-10-26,0
2017-10-27,39
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,24
2017-11-01,35
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,28
2017-11-08,0
2017-11-09,37
2017-11-10,74
2017-11-11,23
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,43
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,30
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,28
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-09,0
2017-12-10,0
2017-12-11,48
2017-12-12,0
2017-12-13,0
2017-12-14,0
2017-12-15,51
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,83
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,39
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,36
2018-01-11,18
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,31
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,58
2018-01-21,30
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,49
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,41
2018-02-06,39
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,31
2018-02-12,0
2018-02-13,32
2018-02-14,35
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,23
2018-03-19,23
2018-03-20,0
2018-03-21,0
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,0
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,25
2018-04-05,22
2018-04-06,37
2018-04-07,0
2018-04-08,0
2018-04-09,0
2018-04-10,56
2018-04-11,0
2018-04-12,20
2018-04-13,29
2018-04-14,100
2018-04-15,24
2018-04-16,0
2018-04-17,0
2018-04-18,0
2018-04-19,0
2018-04-20,0
2018-04-21,29
2018-04-22,0
2018-04-23,25
2018-04-24,0
2018-04-25,0
2018-04-26,0
2018-04-27,0
2018-04-28,0
2018-04-29,71
2018-04-30,40
2018-05-01,0
2018-05-02,0
2018-05-03,0
2018-05-04,0
2018-05-05,25
2018-05-06,32
2018-05-07,37
2018-05-08,0
2018-05-09,52
2018-05-10,0
2018-05-11,0
2018-05-12,0
2018-05-13,30
2018-05-14,45
2018-05-15,61
2018-05-16,0
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,0
2018-05-27,0
2018-05-28,19
2018-05-29,84
2018-05-30,0
2018-05-31,26
2018-06-01,0
2018-06-02,0
2018-06-03,0
2018-06-04,0
2018-06-05,0
2018-06-06,0
2018-06-07,0
2018-06-08,0
2018-06-09,0
2018-06-10,0
2018-06-11,0
2018-06-12,100
2018-06-13,0
2018-06-14,4
2018-06-15,0
2018-06-16,4
2018-06-17,0
2018-06-18,0
2018-06-19,0
2018-06-20,0
2018-06-21,3
2018-06-22,0
2018-06-23,0
2018-06-24,0
2018-06-25,0
2018-06-26,0
2018-06-27,0
2018-06-28,0
2018-06-29,0
2018-06-30,0
2018-07-01,2
2018-07-02,0
2018-07-03,0
2018-07-04,0
2018-07-05,0
2018-07-06,65
2018-07-07,5
2018-07-08,0
2018-07-09,0
2018-07-10,0
2018-07-11,0
2018-07-12,0
2018-07-13,0
2018-07-14,0
2018-07-15,0
2018-07-16,0
2018-07-17,0
2018-07-18,0
2018-07-19,0
2018-07-20,4
2018-07-21,0
2018-07-22,0
2018-07-23,0
2018-07-24,0
2018-07-25,6
2018-07-26,0
2018-07-27,10
2018-07-28,0
2018-07-29,0
2018-07-30,0
2018-07-31,4
2018-08-01,0
2018-08-02,0
2018-08-03,0
2018-08-04,0
2018-08-05,2
2018-08-06,5
2018-08-07,4
2018-08-08,0
2018-08-09,0
2018-08-10,0
2018-08-11,0
2018-08-12,2
2018-08-13,0
2018-08-14,0
2018-08-15,0
2018-08-16,0
2018-08-17,0
2018-08-18,0
2018-08-19,4
2018-08-20,0
2018-08-21,0
2018-08-22,0
2018-08-23,0
2018-08-24,0
2018-08-25,0
2018-08-26,0
2018-08-27,0
2018-08-28,4
2018-08-29,0
2018-08-30,0
2018-08-31,4
2018-09-01,4
2018-09-02,0
2018-09-03,4
2018-09-04,3
2018-09-05,0
2018-09-06,3
2018-09-07,0
2018-09-08,0
2018-09-09,0
2018-09-10,0
2018-09-11,0
2018-09-12,0
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,11
2018-09-19,3
2018-09-20,0
2018-09-21,0
2018-09-22,0
2018-09-23,0
2018-09-24,0
2018-09-25,0
2018-09-26,7
2018-09-27,0
2018-09-28,0
2018-09-29,0
2018-09-30,0
2018-10-01,0
2018-10-02,0
2018-10-03,0
2018-10-04,0
2018-10-05,0
2018-10-06,0
2018-10-07,0
2018-10-08,2
2018-10-09,0
2018-10-10,0
2018-10-11,0
2018-10-12,0
2018-10-13,0
2018-10-14,0
2018-10-15,0
2018-10-16,0
2018-10-17,0
2018-10-18,0
2018-10-19,0
2018-10-20,0
2018-10-21,0
2018-10-22,0
2018-10-23,0
2018-10-24,0
2018-10-25,0
2018-10-26,2
2018-10-27,0
2018-10-28,0
2018-10-29,0
2018-10-30,0
2018-10-31,2
2018-11-01,0
2018-11-02,0
2018-11-03,0
2018-11-04,4
2018-11-05,0
2018-11-06,0
2018-11-07,0
2018-11-08,0
2018-11-09,0
2018-11-10,0
2018-11-11,0
2018-11-12,2
2018-11-13,0
2018-11-14,0
2018-11-15,0
2018-11-16,3
2018-11-17,5
2018-11-18,0
2018-11-19,0
2018-11-20,0
2018-11-21,0
2018-11-22,0
2018-11-23,0
2018-11-24,0
2018-11-25,0
2018-11-26,0
2018-11-27,2
2018-11-28,0
2018-11-29,3
2018-11-30,0
2018-12-01,0
2018-12-02,0
2018-12-03,0
2018-12-04,0
2018-12-05,0
2018-12-06,0
2018-12-07,0
2018-12-08,3
2018-12-09,0
2018-12-10,0
2018-12-11,0
2018-12-12,0
2018-12-13,0
2018-12-14,10
2018-12-15,0
2018-12-16,0
2018-12-17,0
2018-12-18,0
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-22,2
2018-12-23,0
2018-12-24,0
2018-12-25,0
2018-12-26,0
2018-12-27,0
2018-12-28,0
2018-12-29,0
2018-12-30,0
2018-12-31,4
