date,searches
2016-12-21,60
2016-12-22,62
2016-12-23,61
2016-12-24,51
2016-12-25,59
2016-12-26,67
2016-12-27,68
2016-12-28,62
2016-12-29,66
2016-12-30,66
2016-12-31,62
2017-01-01,94
2017-01-02,100
2017-01-03,85
2017-01-04,87
2017-01-05,87
2017-01-06,86
2017-01-07,91
2017-01-08,99
2017-01-09,92
2017-01-10,90
2017-01-11,88
2017-01-12,87
2017-01-13,87
2017-01-14,98
2017-01-15,93
2017-01-16,90
2017-01-17,83
2017-01-18,83
2017-01-19,76
2017-01-20,76
2017-01-21,81
2017-01-22,92
2017-01-23,81
2017-01-24,75
2017-01-25,67
2017-01-26,71
2017-01-27,78
2017-01-28,98
2017-01-29,90
2017-01-30,80
2017-01-31,66
2017-02-01,72
2017-02-02,69
2017-02-03,69
2017-02-04,83
2017-02-05,84
2017-02-06,77
2017-02-07,64
2017-02-08,68
2017-02-09,65
2017-02-10,68
2017-02-11,81
2017-02-12,75
2017-02-13,70
2017-02-14,64
2017-02-15,69
2017-02-16,67
2017-02-17,74
2017-02-18,79
2017-02-19,82
2017-02-20,66
2017-02-21,71
2017-02-22,66
2017-02-23,65
2017-02-24,73
2017-02-25,78
2017-02-26,77
2017-02-27,65
2017-02-28,66
2017-03-01,71
2017-03-02,80
2017-03-03,76
2017-03-04,81
2017-03-05,77
2017-03-06,68
2017-03-07,72
2017-03-08,70
2017-03-09,65
2017-03-10,67
2017-03-11,77
2017-03-12,74
2017-03-13,66
2017-03-14,69
2017-03-15,72
2017-03-16,62
2017-03-17,69
2017-03-18,76
2017-03-19,80
2017-03-20,66
2017-03-21,69
2017-03-22,78
2017-03-23,70
2017-03-24,65
2017-03-25,64
2017-03-26,79
2017-03-27,65
2017-03-28,65
2017-03-29,62
2017-03-30,64
2017-03-31,64
2017-04-01,73
2017-04-02,66
2017-04-03,58
2017-04-04,62
2017-04-05,62
2017-04-06,58
2017-04-07,65
2017-04-08,68
2017-04-09,69
2017-04-10,64
2017-04-11,63
2017-04-12,65
2017-04-13,65
2017-04-14,66
2017-04-15,69
2017-04-16,69
2017-04-17,66
2017-04-18,68
2017-04-19,63
2017-04-20,59
2017-04-21,61
2017-04-22,65
2017-04-23,67
2017-04-24,62
2017-04-25,61
2017-04-26,64
2017-04-27,67
2017-04-28,67
2017-04-29,68
2017-04-30,71
2017-05-01,73
2017-05-02,64
2017-05-03,61
2017-05-04,59
2017-05-05,64
2017-05-06,66
2017-05-07,74
2017-05-08,65
2017-05-09,63
2017-05-10,59
2017-05-11,64
2017-05-12,58
2017-05-13,62
2017-05-14,65
2017-05-15,58
2017-05-16,57
2017-05-17,55
2017-05-18,50
2017-05-19,59
2017-05-20,63
2017-05-21,67
2017-05-22,57
2017-05-23,58
2017-05-24,62
2017-05-25,61
2017-05-26,58
2017-05-27,66
2017-05-28,62
2017-05-29,64
2017-05-30,68
2017-05-31,63
2017-06-01,70
2017-06-02,63
2017-06-03,66
2017-06-04,82
2017-06-05,75
2017-06-06,71
2017-06-07,73
2017-06-08,65
2017-06-09,66
2017-06-10,69
2017-06-11,77
2017-06-12,61
2017-06-13,60
2017-06-14,69
2017-06-15,66
2017-06-16,64
2017-06-17,65
2017-06-18,69
2017-06-19,65
2017-06-20,63
2017-06-21,65
2017-06-22,63
2017-06-23,66
2017-06-24,71
2017-06-25,76
2017-06-26,100
2017-06-27,87
2017-06-28,84
2017-06-29,75
2017-06-30,83
2017-07-01,71
2017-07-02,79
2017-07-03,76
2017-07-04,68
2017-07-05,65
2017-07-06,69
2017-07-07,64
2017-07-08,68
2017-07-09,77
2017-07-10,73
2017-07-11,69
2017-07-12,64
2017-07-13,73
2017-07-14,69
2017-07-15,68
2017-07-16,75
2017-07-17,69
2017-07-18,60
2017-07-19,66
2017-07-20,66
2017-07-21,63
2017-07-22,65
2017-07-23,69
2017-07-24,68
2017-07-25,60
2017-07-26,64
2017-07-27,63
2017-07-28,67
2017-07-29,65
2017-07-30,73
2017-07-31,72
2017-08-01,69
2017-08-02,67
2017-08-03,65
2017-08-04,69
2017-08-05,60
2017-08-06,66
2017-08-07,61
2017-08-08,59
2017-08-09,58
2017-08-10,56
2017-08-11,55
2017-08-12,61
2017-08-13,63
2017-08-14,63
2017-08-15,60
2017-08-16,55
2017-08-17,58
2017-08-18,55
2017-08-19,60
2017-08-20,64
2017-08-21,60
2017-08-22,57
2017-08-23,58
2017-08-24,54
2017-08-25,56
2017-08-26,58
2017-08-27,61
2017-08-28,58
2017-08-29,55
2017-08-30,53
2017-08-31,53
2017-09-01,61
2017-09-02,64
2017-09-03,66
2017-09-04,63
2017-09-05,54
2017-09-06,53
2017-09-07,50
2017-09-08,52
2017-09-09,56
2017-09-10,64
2017-09-11,50
2017-09-12,51
2017-09-13,49
2017-09-14,48
2017-09-15,51
2017-09-16,57
2017-09-17,65
2017-09-18,49
2017-09-19,47
2017-09-20,52
2017-09-21,48
2017-09-22,52
2017-09-23,61
2017-09-24,67
2017-09-25,56
2017-09-26,49
2017-09-27,49
2017-09-28,52
2017-09-29,58
2017-09-30,61
2017-10-01,71
2017-10-02,57
2017-10-03,50
2017-10-04,51
2017-10-05,50
2017-10-06,50
2017-10-07,55
2017-10-08,60
2017-10-09,53
2017-10-10,48
2017-10-11,49
2017-10-12,48
2017-10-13,49
2017-10-14,60
2017-10-15,64
2017-10-16,52
2017-10-17,50
2017-10-18,51
2017-10-19,53
2017-10-20,53
2017-10-21,57
2017-10-22,67
2017-10-23,55
2017-10-24,53
2017-10-25,53
2017-10-26,51
2017-10-27,51
2017-10-28,58
2017-10-29,64
2017-10-30,54
2017-10-31,57
2017-11-01,53
2017-11-02,53
2017-11-03,49
2017-11-04,57
2017-11-05,62
2017-11-06,48
2017-11-07,48
2017-11-08,49
2017-11-09,55
2017-11-10,58
2017-11-11,72
2017-11-12,72
2017-11-13,70
2017-11-14,70
2017-11-15,76
2017-11-16,70
2017-11-17,100
2017-11-18,85
2017-11-19,80
2017-11-20,70
2017-11-21,68
2017-11-22,71
2017-11-23,79
2017-11-24,79
2017-11-25,82
2017-11-26,85
2017-11-27,88
2017-11-28,78
2017-11-29,74
2017-11-30,82
2017-12-01,73
2017-12-02,74
2017-12-03,78
2017-12-04,70
2017-12-05,62
2017-12-06,66
2017-12-07,62
2017-12-08,64
2017-12-09,70
2017-12-10,71
2017-12-11,65
2017-12-12,65
2017-12-13,68
2017-12-14,69
2017-12-15,65
2017-12-16,75
2017-12-17,73
2017-12-18,71
2017-12-19,70
2017-12-20,67
2017-12-21,71
2017-12-22,70
2017-12-23,66
2017-12-24,71
2017-12-25,75
2017-12-26,76
2017-12-27,78
2017-12-28,78
2017-12-29,73
2017-12-30,81
2017-12-31,74
2018-01-01,94
2018-01-02,96
2018-01-03,93
2018-01-04,96
2018-01-05,100
2018-01-06,98
2018-01-07,98
2018-01-08,94
2018-01-09,85
2018-01-10,87
2018-01-11,84
2018-01-12,86
2018-01-13,97
2018-01-14,94
2018-01-15,91
2018-01-16,93
2018-01-17,93
2018-01-18,91
2018-01-19,95
2018-01-20,97
2018-01-21,100
2018-01-22,85
2018-01-23,81
2018-01-24,83
2018-01-25,77
2018-01-26,85
2018-01-27,79
2018-01-28,84
2018-01-29,76
2018-01-30,79
2018-01-31,75
2018-02-01,77
2018-02-02,77
2018-02-03,82
2018-02-04,80
2018-02-05,72
2018-02-06,70
2018-02-07,65
2018-02-08,69
2018-02-09,73
2018-02-10,76
2018-02-11,76
2018-02-12,71
2018-02-13,64
2018-02-14,60
2018-02-15,58
2018-02-16,68
2018-02-17,76
2018-02-18,77
2018-02-19,69
2018-02-20,66
2018-02-21,65
2018-02-22,69
2018-02-23,70
2018-02-24,74
2018-02-25,70
2018-02-26,63
2018-02-27,57
2018-02-28,64
2018-03-01,68
2018-03-02,63
2018-03-03,73
2018-03-04,70
2018-03-05,59
2018-03-06,63
2018-03-07,56
2018-03-08,55
2018-03-09,57
2018-03-10,65
2018-03-11,56
2018-03-12,55
2018-03-13,64
2018-03-14,77
2018-03-15,67
2018-03-16,70
2018-03-17,73
2018-03-18,77
2018-03-19,64
2018-03-20,63
2018-03-21,65
2018-03-22,63
2018-03-23,67
2018-03-24,70
2018-03-25,64
2018-03-26,64
2018-03-27,65
2018-03-28,58
2018-03-29,63
2018-03-30,66
2018-03-31,66
2018-04-01,67
2018-04-02,67
2018-04-03,60
2018-04-04,56
2018-04-05,55
2018-04-06,56
2018-04-07,59
2018-04-08,63
2018-04-09,54
2018-04-10,56
2018-04-11,54
2018-04-12,51
2018-04-13,57
2018-04-14,61
2018-04-15,70
2018-04-16,57
2018-04-17,56
2018-04-18,54
2018-04-19,53
2018-04-20,54
2018-04-21,60
2018-04-22,62
2018-04-23,59
2018-04-24,56
2018-04-25,74
2018-04-26,77
2018-04-27,79
2018-04-28,82
2018-04-29,86
2018-04-30,85
2018-05-01,81
2018-05-02,79
2018-05-03,78
2018-05-04,69
2018-05-05,69
2018-05-06,71
2018-05-07,60
2018-05-08,63
2018-05-09,62
2018-05-10,62
2018-05-11,59
2018-05-12,67
2018-05-13,69
2018-05-14,60
2018-05-15,57
2018-05-16,58
2018-05-17,56
2018-05-18,56
2018-05-19,61
2018-05-20,65
2018-05-21,61
2018-05-22,59
2018-05-23,57
2018-05-24,51
2018-05-25,56
2018-05-26,57
2018-05-27,67
2018-05-28,60
2018-05-29,58
2018-05-30,59
2018-05-31,65
2018-06-01,63
2018-06-02,68
2018-06-03,72
2018-06-04,61
2018-06-05,62
2018-06-06,61
2018-06-07,66
2018-06-08,64
2018-06-09,62
2018-06-10,70
2018-06-11,56
2018-06-12,48
2018-06-13,51
2018-06-14,52
2018-06-15,57
2018-06-16,60
2018-06-17,66
2018-06-18,59
2018-06-19,59
2018-06-20,55
2018-06-21,53
2018-06-22,58
2018-06-23,57
2018-06-24,65
2018-06-25,58
2018-06-26,59
2018-06-27,58
2018-06-28,56
2018-06-29,56
2018-06-30,62
2018-07-01,51
2018-07-02,47
2018-07-03,49
2018-07-04,49
2018-07-05,46
2018-07-06,47
2018-07-07,47
2018-07-08,43
2018-07-09,49
2018-07-10,44
2018-07-11,56
2018-07-12,53
2018-07-13,54
2018-07-14,54
2018-07-15,62
2018-07-16,60
2018-07-17,63
2018-07-18,61
2018-07-19,59
2018-07-20,56
2018-07-21,58
2018-07-22,65
2018-07-23,64
2018-07-24,63
2018-07-25,62
2018-07-26,58
2018-07-27,51
2018-07-28,54
2018-07-29,56
2018-07-30,59
2018-07-31,62
2018-08-01,60
2018-08-02,59
2018-08-03,59
2018-08-04,57
2018-08-05,55
2018-08-06,61
2018-08-07,57
2018-08-08,59
2018-08-09,58
2018-08-10,56
2018-08-11,55
2018-08-12,62
2018-08-13,57
2018-08-14,56
2018-08-15,56
2018-08-16,56
2018-08-17,58
2018-08-18,54
2018-08-19,56
2018-08-20,56
2018-08-21,56
2018-08-22,56
2018-08-23,55
2018-08-24,59
2018-08-25,58
2018-08-26,59
2018-08-27,58
2018-08-28,56
2018-08-29,56
2018-08-30,54
2018-08-31,55
2018-09-01,59
2018-09-02,61
2018-09-03,60
2018-09-04,55
2018-09-05,57
2018-09-06,55
2018-09-07,55
2018-09-08,61
2018-09-09,64
2018-09-10,60
2018-09-11,54
2018-09-12,55
2018-09-13,53
2018-09-14,55
2018-09-15,62
2018-09-16,64
2018-09-17,56
2018-09-18,47
2018-09-19,49
2018-09-20,49
2018-09-21,53
2018-09-22,64
2018-09-23,66
2018-09-24,57
2018-09-25,61
2018-09-26,63
2018-09-27,60
2018-09-28,60
2018-09-29,65
2018-09-30,64
2018-10-01,61
2018-10-02,72
2018-10-03,73
2018-10-04,61
2018-10-05,62
2018-10-06,72
2018-10-07,64
2018-10-08,65
2018-10-09,62
2018-10-10,67
2018-10-11,63
2018-10-12,66
2018-10-13,72
2018-10-14,76
2018-10-15,70
2018-10-16,66
2018-10-17,64
2018-10-18,64
2018-10-19,62
2018-10-20,72
2018-10-21,71
2018-10-22,68
2018-10-23,63
2018-10-24,64
2018-10-25,66
2018-10-26,65
2018-10-27,73
2018-10-28,73
2018-10-29,70
2018-10-30,62
2018-10-31,70
2018-11-01,72
2018-11-02,70
2018-11-03,72
2018-11-04,71
2018-11-05,66
2018-11-06,63
2018-11-07,63
2018-11-08,62
2018-11-09,64
2018-11-10,73
2018-11-11,80
2018-11-12,67
2018-11-13,67
2018-11-14,74
2018-11-15,78
2018-11-16,83
2018-11-17,93
2018-11-18,100
2018-11-19,91
2018-11-20,84
2018-11-21,84
2018-11-22,86
2018-11-23,84
2018-11-24,88
2018-11-25,95
2018-11-26,80
2018-11-27,80
2018-11-28,82
2018-11-29,77
2018-11-30,79
2018-12-01,83
2018-12-02,84
2018-12-03,71
2018-12-04,71
2018-12-05,71
2018-12-06,64
2018-12-07,66
2018-12-08,72
2018-12-09,77
2018-12-10,72
2018-12-11,69
2018-12-12,67
2018-12-13,65
2018-12-14,67
2018-12-15,74
2018-12-16,71
2018-12-17,71
2018-12-18,64
2018-12-19,64
2018-12-20,63
2018-12-21,64
2018-12-22,67
2018-12-23,68
2018-12-24,70
2018-12-25,72
2018-12-26,75
2018-12-27,73
2018-12-28,73
2018-12-29,74
2018-12-30,70
2018-12-31,65
2019-01-01,94
2019-01-02,99
2019-01-03,93
2019-01-04,97
2019-01-05,98
2019-01-06,98
2019-01-07,87
2019-01-08,85
2019-01-09,88
2019-01-10,84
2019-01-11,86
2019-01-12,99
2019-01-13,100
2019-01-14,90
2019-01-15,88
2019-01-16,87
2019-01-17,81
2019-01-18,86
2019-01-19,99
2019-01-20,96
2019-01-21,86
2019-01-22,83
2019-01-23,84
2019-01-24,80
2019-01-25,80
2019-01-26,91
2019-01-27,90
2019-01-28,83
2019-01-29,84
2019-01-30,83
2019-01-31,80
2019-02-01,79
2019-02-02,89
2019-02-03,84
2019-02-04,74
2019-02-05,74
2019-02-06,72
2019-02-07,73
2019-02-08,76
2019-02-09,85
2019-02-10,85
2019-02-11,74
2019-02-12,73
2019-02-13,71
2019-02-14,67
2019-02-15,72
2019-02-16,79
2019-02-17,79
2019-02-18,81
2019-02-19,69
2019-02-20,71
2019-02-21,71
2019-02-22,74
2019-02-23,76
2019-02-24,77
2019-02-25,71
2019-02-26,63
2019-02-27,67
2019-02-28,66
2019-03-01,66
2019-03-02,78
2019-03-03,77
2019-03-04,74
2019-03-05,71
2019-03-06,69
2019-03-07,70
2019-03-08,78
2019-03-09,82
2019-03-10,79
2019-03-11,73
2019-03-12,69
2019-03-13,70
2019-03-14,73
2019-03-15,75
2019-03-16,79
2019-03-17,76
2019-03-18,71
2019-03-19,70
2019-03-20,69
2019-03-21,64
2019-03-22,70
2019-03-23,71
2019-03-24,63
2019-03-25,58
2019-03-26,70
2019-03-27,70
2019-03-28,72
2019-03-29,69
2019-03-30,78
2019-03-31,80
2019-04-01,67
2019-04-02,69
2019-04-03,71
2019-04-04,70
2019-04-05,73
2019-04-06,77
2019-04-07,79
2019-04-08,71
2019-04-09,70
2019-04-10,73
2019-04-11,72
2019-04-12,73
2019-04-13,82
2019-04-14,80
2019-04-15,81
2019-04-16,72
2019-04-17,74
2019-04-18,76
2019-04-19,79
2019-04-20,81
2019-04-21,80
2019-04-22,81
2019-04-23,77
2019-04-24,73
2019-04-25,71
2019-04-26,72
2019-04-27,79
2019-04-28,74
2019-04-29,65
2019-04-30,64
2019-05-01,70
2019-05-02,67
2019-05-03,70
2019-05-04,75
2019-05-05,73
2019-05-06,66
2019-05-07,65
2019-05-08,65
2019-05-09,62
2019-05-10,68
2019-05-11,72
2019-05-12,75
2019-05-13,64
2019-05-14,63
2019-05-15,64
2019-05-16,60
2019-05-17,67
2019-05-18,77
2019-05-19,72
2019-05-20,63
2019-05-21,64
2019-05-22,63
2019-05-23,58
2019-05-24,63
2019-05-25,68
2019-05-26,71
2019-05-27,67
2019-05-28,65
2019-05-29,67
2019-05-30,67
2019-05-31,67
2019-06-01,66
2019-06-02,66
2019-06-03,54
2019-06-04,77
2019-06-05,64
2019-06-06,66
2019-06-07,69
2019-06-08,69
2019-06-09,75
2019-06-10,74
2019-06-11,69
2019-06-12,70
2019-06-13,69
2019-06-14,71
2019-06-15,71
2019-06-16,73
2019-06-17,69
2019-06-18,68
2019-06-19,73
2019-06-20,85
2019-06-21,84
2019-06-22,85
2019-06-23,92
2019-06-24,86
2019-06-25,85
2019-06-26,82
2019-06-27,76
2019-06-28,73
2019-06-29,75
2019-06-30,75
2019-07-01,95
2019-07-02,93
2019-07-03,87
2019-07-04,89
2019-07-05,89
2019-07-06,90
2019-07-07,97
2019-07-08,87
2019-07-09,86
2019-07-10,89
2019-07-11,86
2019-07-12,86
2019-07-13,85
2019-07-14,87
2019-07-15,88
2019-07-16,86
2019-07-17,83
2019-07-18,78
2019-07-19,82
2019-07-20,81
2019-07-21,82
2019-07-22,87
2019-07-23,84
2019-07-24,82
2019-07-25,88
2019-07-26,86
2019-07-27,79
2019-07-28,86
2019-07-29,84
2019-07-30,85
2019-07-31,87
2019-08-01,83
2019-08-02,70
2019-08-03,85
2019-08-04,82
2019-08-05,90
2019-08-06,83
2019-08-07,85
2019-08-08,86
2019-08-09,85
2019-08-10,86
2019-08-11,87
2019-08-12,94
2019-08-13,86
2019-08-14,87
2019-08-15,84
2019-08-16,89
2019-08-17,89
2019-08-18,91
2019-08-19,83
2019-08-20,87
2019-08-21,86
2019-08-22,86
2019-08-23,83
2019-08-24,84
2019-08-25,90
2019-08-26,90
2019-08-27,85
2019-08-28,81
2019-08-29,86
2019-08-30,82
2019-08-31,89
2019-09-01,92
2019-09-02,88
2019-09-03,85
2019-09-04,81
2019-09-05,83
2019-09-06,84
2019-09-07,93
2019-09-08,97
2019-09-09,86
2019-09-10,77
2019-09-11,73
2019-09-12,79
2019-09-13,82
2019-09-14,88
2019-09-15,91
2019-09-16,74
2019-09-17,72
2019-09-18,75
2019-09-19,75
2019-09-20,78
2019-09-21,87
2019-09-22,89
2019-09-23,77
2019-09-24,75
2019-09-25,82
2019-09-26,77
2019-09-27,80
2019-09-28,90
2019-09-29,93
2019-09-30,81
2019-10-01,78
2019-10-02,81
2019-10-03,84
2019-10-04,85
2019-10-05,91
2019-10-06,98
2019-10-07,83
2019-10-08,86
2019-10-09,86
2019-10-10,85
2019-10-11,87
2019-10-12,88
2019-10-13,94
2019-10-14,87
2019-10-15,81
2019-10-16,82
2019-10-17,79
2019-10-18,84
2019-10-19,92
2019-10-20,94
2019-10-21,88
2019-10-22,86
2019-10-23,79
2019-10-24,81
2019-10-25,82
2019-10-26,90
2019-10-27,87
2019-10-28,87
2019-10-29,88
2019-10-30,83
2019-10-31,88
2019-11-01,92
2019-11-02,99
2019-11-03,98
2019-11-04,88
2019-11-05,87
2019-11-06,96
2019-11-07,88
2019-11-08,88
2019-11-09,98
2019-11-10,94
2019-11-11,91
2019-11-12,82
2019-11-13,78
2019-11-14,78
2019-11-15,78
2019-11-16,91
2019-11-17,92
2019-11-18,79
2019-11-19,83
2019-11-20,76
2019-11-21,82
2019-11-22,84
2019-11-23,90
2019-11-24,93
2019-11-25,78
2019-11-26,75
2019-11-27,78
2019-11-28,77
2019-11-29,80
2019-11-30,83
2019-12-01,92
2019-12-02,78
2019-12-03,79
2019-12-04,77
2019-12-05,77
2019-12-06,80
2019-12-07,89
2019-12-08,91
2019-12-09,92
2019-12-10,79
2019-12-11,81
2019-12-12,79
2019-12-13,84
2019-12-14,88
2019-12-15,95
2019-12-16,86
2019-12-17,82
2019-12-18,78
2019-12-19,82
2019-12-20,83
2019-12-21,91
2019-12-22,89
2019-12-23,92
2019-12-24,88
2019-12-25,91
2019-12-26,97
2019-12-27,100
2019-12-28,96
2019-12-29,96
2019-12-30,96
2019-12-31,89
2020-01-01,77
2020-01-02,87
2020-01-03,85
2020-01-04,86
2020-01-05,79
2020-01-06,76
2020-01-07,74
2020-01-08,71
2020-01-09,70
2020-01-10,72
2020-01-11,82
2020-01-12,78
2020-01-13,64
2020-01-14,67
2020-01-15,79
2020-01-16,72
2020-01-17,71
2020-01-18,79
2020-01-19,77
2020-01-20,71
2020-01-21,69
2020-01-22,67
2020-01-23,66
2020-01-24,67
2020-01-25,72
2020-01-26,70
2020-01-27,65
2020-01-28,64
2020-01-29,64
2020-01-30,61
2020-01-31,68
2020-02-01,70
2020-02-02,66
2020-02-03,62
2020-02-04,57
2020-02-05,61
2020-02-06,60
2020-02-07,63
2020-02-08,67
2020-02-09,67
2020-02-10,64
2020-02-11,60
2020-02-12,61
2020-02-13,60
2020-02-14,60
2020-02-15,64
2020-02-16,67
2020-02-17,63
2020-02-18,61
2020-02-19,62
2020-02-20,61
2020-02-21,60
2020-02-22,68
2020-02-23,64
2020-02-24,65
2020-02-25,64
2020-02-26,61
2020-02-27,61
2020-02-28,58
2020-02-29,65
2020-03-01,67
2020-03-02,60
2020-03-03,58
2020-03-04,60
2020-03-05,59
2020-03-06,64
2020-03-07,65
2020-03-08,63
2020-03-09,59
2020-03-10,58
2020-03-11,61
2020-03-12,60
2020-03-13,62
2020-03-14,68
2020-03-15,72
2020-03-16,75
2020-03-17,78
2020-03-18,80
2020-03-19,74
2020-03-20,73
2020-03-21,80
2020-03-22,82
2020-03-23,86
2020-03-24,90
2020-03-25,87
2020-03-26,98
2020-03-27,83
2020-03-28,69
2020-03-29,97
2020-03-30,97
2020-03-31,99
2020-04-01,88
2020-04-02,83
