Day,harry potter: (Worldwide)
2020-01-01,77
2020-01-02,87
2020-01-03,85
2020-01-04,86
2020-01-05,79
2020-01-06,76
2020-01-07,74
2020-01-08,71
2020-01-09,70
2020-01-10,72
2020-01-11,82
2020-01-12,78
2020-01-13,64
2020-01-14,67
2020-01-15,79
2020-01-16,72
2020-01-17,71
2020-01-18,79
2020-01-19,77
2020-01-20,71
2020-01-21,69
2020-01-22,67
2020-01-23,66
2020-01-24,67
2020-01-25,72
2020-01-26,70
2020-01-27,65
2020-01-28,64
2020-01-29,64
2020-01-30,61
2020-01-31,68
2020-02-01,70
2020-02-02,66
2020-02-03,62
2020-02-04,57
2020-02-05,61
2020-02-06,60
2020-02-07,63
2020-02-08,67
2020-02-09,67
2020-02-10,64
2020-02-11,60
2020-02-12,61
2020-02-13,60
2020-02-14,60
2020-02-15,64
2020-02-16,67
2020-02-17,63
2020-02-18,61
2020-02-19,62
2020-02-20,61
2020-02-21,60
2020-02-22,68
2020-02-23,64
2020-02-24,65
2020-02-25,64
2020-02-26,61
2020-02-27,61
2020-02-28,58
2020-02-29,65
2020-03-01,67
2020-03-02,60
2020-03-03,58
2020-03-04,60
2020-03-05,59
2020-03-06,64
2020-03-07,65
2020-03-08,63
2020-03-09,59
2020-03-10,58
2020-03-11,61
2020-03-12,60
2020-03-13,62
2020-03-14,68
2020-03-15,72
2020-03-16,75
2020-03-17,78
2020-03-18,80
2020-03-19,74
2020-03-20,73
2020-03-21,80
2020-03-22,82
2020-03-23,86
2020-03-24,90
2020-03-25,87
2020-03-26,98
2020-03-27,83
2020-03-28,69
2020-03-29,97
2020-03-30,97
2020-03-31,99
2020-04-01,88
2020-04-02,83
2020-04-03,96
2020-04-04,87
2020-04-05,89
2020-04-06,95
2020-04-07,94
2020-04-08,97
2020-04-09,91
2020-04-10,90
2020-04-11,93
2020-04-12,89
2020-04-13,97
2020-04-14,100
2020-04-15,98
2020-04-16,94
2020-04-17,94
2020-04-18,85
2020-04-19,91
2020-04-20,91
2020-04-21,95
2020-04-22,93
2020-04-23,91
2020-04-24,84
2020-04-25,85
2020-04-26,89
2020-04-27,94
2020-04-28,96
2020-04-29,98
2020-04-30,95
2020-05-01,86
2020-05-02,77
2020-05-03,87
2020-05-04,99
2020-05-05,95
2020-05-06,96
2020-05-07,98
2020-05-08,87
2020-05-09,81
2020-05-10,83
2020-05-11,92
2020-05-12,95
2020-05-13,94
2020-05-14,85
2020-05-15,84
2020-05-16,82
2020-05-17,80
2020-05-18,83
2020-05-19,90
2020-05-20,89
2020-05-21,84
2020-05-22,82
2020-05-23,83
2020-05-24,83
2020-05-25,85
2020-05-26,89
2020-05-27,89
2020-05-28,90
2020-05-29,84
2020-05-30,86
2020-05-31,84
2020-06-01,83
2020-06-02,86
2020-06-03,91
2020-06-04,95
2020-06-05,90
2020-06-06,85
2020-06-07,83
2020-06-08,87
2020-06-09,87
2020-06-10,88
2020-06-11,84
2020-06-12,80
2020-06-13,78
2020-06-14,77
2020-06-15,77
2020-06-16,80
2020-06-17,79
2020-06-18,75
2020-06-19,78
2020-06-20,74
2020-06-21,70
2020-06-22,75
2020-06-23,73
2020-06-24,72
2020-06-25,69
2020-06-26,72
2020-06-27,75
2020-06-28,80
2020-06-29,88
2020-06-30,81
